Class,Precision,Recall,F1-Score,Support
A,0.8810872027180068,0.9798488664987406,0.9278473464519976,794
B,0.8074534161490683,0.966542750929368,0.8798646362098138,807
C,0.8714285714285714,0.6594594594594595,0.7507692307692309,555
D,0.9674479166666666,0.8973429951690821,0.931077694235589,828
E,0.8860465116279069,0.8581081081081081,0.8718535469107551,888
F,0.8345802161263508,0.9152233363719234,0.8730434782608696,1097
G,0.9693989071038251,0.9517167381974249,0.9604764482945316,932
H,0.8940476190476191,0.8622273249138921,0.8778492109877266,871
I,0.8623279098873592,0.8125,0.8366727383120824,848
J,0.8390092879256966,0.8732545649838883,0.8557894736842105,931
K,0.8571428571428571,0.70521327014218,0.7737909516380655,1055
L,0.9238636363636363,0.9355581127733027,0.9296740994854202,869
M,0.6865671641791045,0.5935483870967742,0.6366782006920415,310
N,0.8091603053435115,0.664576802507837,0.729776247848537,319
O,0.8384401114206128,0.9121212121212121,0.8737300435413643,660
P,0.8862115127175368,0.8791500664010624,0.8826666666666667,753
Q,0.9258760107816711,0.9221476510067114,0.9240080699394754,745
R,0.6512455516014235,0.6140939597315436,0.6321243523316062,894
S,0.8707070707070707,0.9229122055674518,0.8960498960498959,934
T,0.9514218009478673,0.9187643020594966,0.9348079161816064,874
U,0.45648604269293924,0.2995689655172414,0.36174365647365,928
V,0.5749039692701664,0.9238683127572016,0.7087608524072613,972
W,0.9932049830124575,0.9595185995623632,0.9760712298274903,914
X,0.8788598574821853,0.8926417370325693,0.8856971873129863,829
Y,0.975609756097561,0.9823182711198428,0.9789525208027411,1018
Z,0.8266219239373602,0.8553240740740741,0.8407281001137658,864
_del,0.8519417475728155,0.8478260869565217,0.8498789346246973,414
_space,0.9021739130434783,0.5665529010238908,0.6960167714884695,293
accuracy,0.8442962695981258
macro avg,0.845473777606976,0.8275688950743988,0.8312999821979482,22196
weighted avg,0.8466185155036231,0.8442962695981258,0.8409262373997209,22196
