Class,Precision,Recall,F1-Score,Support
A,0.9583333333333334,0.990159901599016,0.9739866908650938,813
B,0.9955156950672646,0.9921787709497206,0.9938444320089534,895
C,0.9534109816971714,0.9930675909878682,0.9728353140916808,577
D,0.954225352112676,0.9806996381182147,0.9672813801308744,829
E,0.9894366197183099,0.9656357388316151,0.9773913043478261,873
F,0.9867172675521821,0.9933142311365807,0.9900047596382675,1047
G,0.992992992992993,0.998992950654582,0.995983935742972,993
H,0.9918793503480279,0.9953434225844005,0.9936083672283557,859
I,0.9854368932038835,0.9724550898203593,0.9789029535864978,835
J,0.9808510638297873,0.9882100750267953,0.984516817939135,933
K,0.9942062572421785,0.8453201970443349,0.913738019169329,1015
L,0.9742489270386266,0.9978021978021978,0.985884907709012,910
M,0.9045801526717557,0.7095808383233533,0.7953020134228187,334
N,0.7771739130434783,0.910828025477707,0.8387096774193549,314
O,0.9804241435562806,0.9064856711915535,0.9420062695924764,663
P,0.981081081081081,0.9477806788511749,0.9641434262948207,766
Q,0.9418132611637348,0.9693593314763231,0.9553877831159918,718
R,0.9948542024013722,0.6373626373626373,0.7769591426657736,910
S,0.9659211927582535,0.9597883597883597,0.9628450106157113,945
T,0.9795918367346939,0.9536423841059603,0.9664429530201342,906
U,0.6941923774954628,0.8252427184466019,0.7540660423854115,927
V,0.7549019607843137,0.9935483870967742,0.8579387186629526,930
W,0.9966517857142857,0.9813186813186813,0.9889258028792912,910
X,0.9424206815511164,0.9852579852579852,0.9633633633633635,814
Y,0.9969262295081968,0.997948717948718,0.9974372116863147,975
Z,0.9904761904761905,0.9869513641755635,0.9887106357694594,843
_del,0.9734299516908212,0.9950617283950617,0.9841269841269842,405
_space,0.98046875,0.9766536964980544,0.9785575048732943,257
accuracy,0.9483240223463687
macro avg,0.9504343730274097,0.9446425360810784,0.9443893365125767,22196
weighted avg,0.9543282242896218,0.9483240223463687,0.9481440485212105,22196
